Department,Object Name,Title,Culture,Period,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date
Modern and Contemporary Art,Painting,Wound #18,,,,Lucas Samaras,"American (born Greece), Kastoria, 1936",,"Samaras, Lucas","American, born Greece",1936      ,2036      ,2000,2000
Modern and Contemporary Art,Painting,Mountain Devil Lizard Dreaming-Sand-Hill Country (after Hailstorm),,,,Kathleen Petyarre,"Australian (Aboriginal), ca. 1938–2018 Alice Springs",,"Petyarre, Kathleen",,1938      ,2018      ,2000,2000
"Arts of Africa, Oceania, and the Americas",Painting,The Story of the Queen of Sheba,Amhara peoples,,,,,,,,,,20th century,20
Asian Art,Painting,近代  關良  戲劇人物  軸|Opera Figure,China,,,Guan Liang,"Chinese, 1900–1986",,Guan Liang,Chinese,1900      ,1986      ,dated after 1974,1974
Asian Art,Painting,,India,Mughal,,,,,,,,,19th–20th century,1800
Asian Art,Painting,,Thailand,,,,,,,,,,19th–20th century,1800
Asian Art,Painting,,Thailand,,,,,,,,,,19th–20th century,1800
Asian Art,Painting,近代  范曾  老子  軸|Laozi,China,,,Fan Zeng,"Chinese, born 1938",,Fan Zeng,Chinese,1938      ,2038      ,dated 1980,1890
Asian Art,Painting,,China,,,Xie Zhiliu,"Chinese, 1910–1997",,"Xie, Zhiliu",Chinese,1910      ,1997      ,20th century,1900
European Paintings,Painting,"Portrait of a Woman, Said to Be Caritas Pirckheimer (1467–1532)",,,Imitator of,Albrecht Dürer,20th century,,"Dürer, Albrecht",German,1471      ,1528      ,,1900
Islamic Art,Painting,Portrait of a Girl with a Rose,,,,,,,,,,,20th century,1900
Islamic Art,Painting,Portrait of Mah Laqa Bai Chanda,,,,,,,,,,,20th century,1900
Modern and Contemporary Art,Painting,The Cemetary II,,,,Wilhelm Moser,"German, born 1947",,"Moser, Wilhelm",German,1947      ,2047      ,1999,1999
Modern and Contemporary Art,Painting,Abstract,,,,Rafael Ferrer,American (born Puerto Rico) 1933,,"Ferrer, Rafael",American,1933      ,2033      ,1998–99,1998
Modern and Contemporary Art,Painting,The Trickster,,,,Joan Witek,"American, born New York, 1943",,"Witek, Joan",American,1943      ,2043      ,1999,1999
Modern and Contemporary Art,Painting,Paul,,,,Mary Beth McKenzie,"American, born Cleveland, Ohio, 1946",,"Mckenzie, Mary Beth",American,1946      ,2046      ,1999,1999
Modern and Contemporary Art,Painting,Fence: Westport,,,,Ellen Phelan,"American, born Detroit, Michigan, 1943",,"Phelan, Ellen",American,1943      ,2043      ,1999–2002,1999
Modern and Contemporary Art,Painting,Mike,,,,Eric Fischl,"American, born New York, 1948",,"Fischl, Eric",American,1948      ,2048      ,1999,1999
Modern and Contemporary Art,Painting,Kobo,,,,Tomma Abts,"German, born 1967",,"Abts, Tomma",German,1967      ,9999      ,1999,1999
Modern and Contemporary Art,Painting,Sandhills in Atnangkere Country,,,,Kathleen Petyarre,"Australian (Aboriginal), ca. 1938–2018 Alice Springs",,"Petyarre, Kathleen",,1938      ,2018      ,1999,1999
Photographs,Painting,Border #8,,,,Michal Rovner,"Israeli, born 1957",,"Rovner, Michal",Israeli,1957      ,,1997–98,1997
Modern and Contemporary Art,Painting,Harbour Master,,,,Stephen Mangan,"Scottish, born Edinburgh 1964",,"Mangan, Stephen",British,1964      ,2064      ,1998,1998
Modern and Contemporary Art,Painting,Waiter II,,,,Matthew Weinstein,"American, born New York, 1964",,"Weinstein, Matthew",American,1964      ,2064      ,1998,1998
